nazwazmiennej,etykieta
P_CZY_SAMOZ_NSTUD,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu"
P_CZY_SAMOZ_STUD_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_NSTUD_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia"
P_CZY_SAMOZ_STUD_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_NSTUD_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia"
P_CZY_SAMOZ_STUD_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_NSTUD_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia"
P_CZY_SAMOZ_STUD_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_NSTUD_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia"
P_CZY_SAMOZ_STUD_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_NSTUD_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_SAMOZ_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia"
P_CZY_SAMOZ_DOSW,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_NDOSW,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_DOSW_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_NDOSW_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_DOSW_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_NDOSW_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_DOSW_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_NDOSW_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_DOSW_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_NDOSW_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_DOSW_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_NDOSW_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_PROC_MIES_PRACA_STUD,Procent miesięcy przepracowanych po dyplomie w jakiejkolwiek formie w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_NSTUD,Procent miesięcy przepracowanych po dyplomie w jakiejkolwiek formie w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA,Procent miesięcy przepracowanych po dyplomie w jakiejkolwiek formie
P_PROC_MIES_PRACA_STUD_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w jakiejkolwiek formie w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_NSTUD_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w jakiejkolwiek formie w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w jakiejkolwiek formie
P_PROC_MIES_PRACA_STUD_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w jakiejkolwiek formie w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_NSTUD_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w jakiejkolwiek formie w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w jakiejkolwiek formie
P_PROC_MIES_PRACA_STUD_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w jakiejkolwiek formie w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_NSTUD_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w jakiejkolwiek formie w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w jakiejkolwiek formie
P_PROC_MIES_PRACA_STUD_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w jakiejkolwiek formie w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_NSTUD_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w jakiejkolwiek formie w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w jakiejkolwiek formie
P_PROC_MIES_PRACA_STUD_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w jakiejkolwiek formie w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_NSTUD_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w jakiejkolwiek formie w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_PRACA_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w jakiejkolwiek formie
P_PROC_MIES_PRACA_DOSW,Procent miesięcy przepracowanych po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_NDOSW,Procent miesięcy przepracowanych po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_DOSW_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_NDOSW_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_DOSW_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_NDOSW_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_DOSW_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_NDOSW_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_DOSW_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_NDOSW_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_DOSW_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_PRACA_NDOSW_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w jakiejkolwiek formie absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_ETAT_STUD,Procent miesięcy przepracowanych po dyplomie na umowę o pracę w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_NSTUD,Procent miesięcy przepracowanych po dyplomie na umowę o pracę w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT,Procent miesięcy przepracowanych po dyplomie na umowę o pracę
P_PROC_MIES_ETAT_PODCZAS_STUDIOW,Procent miesięcy przepracowanych na umowę o pracę w trakcie studiów
P_PROC_MIES_ETAT_STUD_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie na umowę o pracę w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_NSTUD_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie na umowę o pracę w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie na umowę o pracę
P_PROC_MIES_ETAT_STUD_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie na umowę o pracę w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_NSTUD_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie na umowę o pracę w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie na umowę o pracę
P_PROC_MIES_ETAT_STUD_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie na umowę o pracę w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_NSTUD_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie na umowę o pracę w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie na umowę o pracę
P_PROC_MIES_ETAT_STUD_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie na umowę o pracę w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_NSTUD_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie na umowę o pracę w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie na umowę o pracę
P_PROC_MIES_ETAT_STUD_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie na umowę o pracę w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_NSTUD_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie na umowę o pracę w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_ETAT_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie na umowę o pracę
P_PROC_MIES_ETAT_DOSW,Procent miesięcy przepracowanych po dyplomie na umowę o pracę przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_ETAT_NDOSW,Procent miesięcy przepracowanych po dyplomie na umowę o pracę przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_ETAT_DOSW_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie na umowę o pracę przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_ETAT_NDOSW_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie na umowę o pracę przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_ETAT_DOSW_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie na umowę o pracę przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_ETAT_NDOSW_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie na umowę o pracę przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_ETAT_DOSW_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie na umowę o pracę przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_ETAT_NDOSW_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie na umowę o pracę przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_ETAT_DOSW_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie na umowę o pracę przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_ETAT_NDOSW_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie na umowę o pracę przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_ETAT_DOSW_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie na umowę o pracę przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_ETAT_NDOSW_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie na umowę o pracę przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_SAMOZ_STUD,Procent miesięcy przepracowanych po dyplomie w ramach samozatrudnienia w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_NSTUD,Procent miesięcy przepracowanych po dyplomie w ramach samozatrudnienia w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ,Procent miesięcy przepracowanych po dyplomie w ramach samozatrudnienia
P_PROC_MIES_SAMOZ_STUD_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w ramach samozatrudnienia w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_NSTUD_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w ramach samozatrudnienia w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w ramach samozatrudnienia
P_PROC_MIES_SAMOZ_STUD_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w ramach samozatrudnienia w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_NSTUD_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w ramach samozatrudnienia w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w ramach samozatrudnienia
P_PROC_MIES_SAMOZ_STUD_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w ramach samozatrudnienia w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_NSTUD_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w ramach samozatrudnienia w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w ramach samozatrudnienia
P_PROC_MIES_SAMOZ_STUD_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w ramach samozatrudnienia w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_NSTUD_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w ramach samozatrudnienia w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w ramach samozatrudnienia
P_PROC_MIES_SAMOZ_STUD_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w ramach samozatrudnienia w okresach studiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_NSTUD_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w ramach samozatrudnienia w okresach niestudiowania po uzyskaniu dyplomu
P_PROC_MIES_SAMOZ_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w ramach samozatrudnienia
P_PROC_MIES_SAMOZ_DOSW,Procent miesięcy przepracowanych po dyplomie w ramach samozatrudnienia przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_SAMOZ_NDOSW,Procent miesięcy przepracowanych po dyplomie w ramach samozatrudnienia przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_SAMOZ_DOSW_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w ramach samozatrudnienia przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_SAMOZ_NDOSW_P1,Procent miesięcy przepracowanych w pierwszym roku po dyplomie w ramach samozatrudnienia przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_SAMOZ_DOSW_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w ramach samozatrudnienia przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_SAMOZ_NDOSW_P2,Procent miesięcy przepracowanych w drugim roku po dyplomie w ramach samozatrudnienia przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_SAMOZ_DOSW_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w ramach samozatrudnienia przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_SAMOZ_NDOSW_P3,Procent miesięcy przepracowanych w trzecim roku po dyplomie w ramach samozatrudnienia przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_SAMOZ_DOSW_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w ramach samozatrudnienia przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_SAMOZ_NDOSW_P4,Procent miesięcy przepracowanych w czwartym roku po dyplomie w ramach samozatrudnienia przez osoby nie mające doświadczenia pracy w trakcie studiów
P_PROC_MIES_SAMOZ_DOSW_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w ramach samozatrudnienia przez osoby mające doświadczenie pracy w trakcie studiów
P_PROC_MIES_SAMOZ_NDOSW_P5,Procent miesięcy przepracowanych w piątym roku po dyplomie w ramach samozatrudnienia przez osoby nie mające doświadczenia pracy w trakcie studiów
P_N_CZY_ETAT,"Liczba absolwentów, którzy mieli doświadczenie pracy na umowę o pracę po uzyskaniu dyplomu"
P_E_MIES_N_PRACODAWCOW,Średnia miesięczna liczba pracodawców
P_E_MIES_N_PRACODAWCOW_Q1,Pierwszy kwintyl średniej miesięcznej liczby pracodawców
P_E_MIES_N_PRACODAWCOW_Q2,Drugi kwintyl średniej miesięcznej liczby pracodawców
P_E_MIES_N_PRACODAWCOW_Q3,Trzeci kwintyl średniej miesięcznej liczby pracodawców
P_E_MIES_N_PRACODAWCOW_Q4,Czwarty kwintyl średniej miesięcznej liczby pracodawców
P_E_MIES_N_PRACODAWCOW_PROC_MODALNA,"Procent absolwentów, dla których średnia miesięczna liczba pracodawców był równy modalnej - wartość podawana tylko w przypadku, gdy wszystkie kwintyle są równe"
P_E_ROCZNA_N_KONCOWETATOW,Średnia roczna liczba przypadków zakończenia pracy etatowej
P_KONIECETATU_RAZ_NA_ILE_LAT,Średnio co ile lat absolwenci kończą pracę etatową (funkcja średniej rocznej liczby przypadków zakończenia pracy etatowej)
P_E_ROCZNA_N_KONCOWETATOW_Q1,Pierwszy kwintyl średniej rocznej liczby przypadków zakończenia pracy etatowej
P_E_ROCZNA_N_KONCOWETATOW_Q2,Drugi kwintyl średniej rocznej liczby przypadków zakończenia pracy etatowej
P_E_ROCZNA_N_KONCOWETATOW_Q3,Trzeci kwintyl średniej rocznej liczby przypadków zakończenia pracy etatowej
P_E_ROCZNA_N_KONCOWETATOW_Q4,Czwarty kwintyl średniej rocznej liczby przypadków zakończenia pracy etatowej
P_E_ROCZNA_N_KONCOWETATOW_PROC_MODALNA,"Procent absolwentów, dla których średnia roczna liczba przypadków zakończenia pracy etatowej była równa modalnej - wartość podawana tylko w przypadku, gdy wszystkie kwintyle są równe"
P_E_ZAR_STUD,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_NSTUD,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR,Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł po uzyskaniu dyplomu
P_E_ZAR_STUD_P1,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_NSTUD_P1,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_P1,Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu
P_E_ZAR_STUD_P2,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_NSTUD_P2,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_P2,Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu
P_E_ZAR_STUD_P3,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_NSTUD_P3,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_P3,Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu
P_E_ZAR_STUD_P4,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_NSTUD_P4,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_P4,Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu
P_E_ZAR_STUD_P5,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_NSTUD_P5,"Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_P5,Średnie miesięczne wynagrodzenie absolwentów ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu
P_E_ZAR_DOSW,Średnie miesięczne wynagrodzenie ze wszystkich źródeł po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_NDOSW,Średnie miesięczne wynagrodzenie ze wszystkich źródeł po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_DOSW_P1,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_NDOSW_P1,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_DOSW_P2,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_NDOSW_P2,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_DOSW_P3,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_NDOSW_P3,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_DOSW_P4,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_NDOSW_P4,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_DOSW_P5,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_NDOSW_P5,Średnie miesięczne wynagrodzenie ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_STUD,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_NSTUD,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w okresach, gdy nie studiowali po uzyskaniu dyplomu"
