nazwazmiennej,etykieta
P_CZY_BEZR_DOSW_P2,"Procent absolwentówu, którzy mieli doświadczenie bycia bezrobotnym w drugim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_NDOSW_P2,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w drugim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_P2,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w drugim roku po uzyskaniu dyplomu"
P_CZY_BEZR_DOSW_P3,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w trzecim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_NDOSW_P3,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w trzecim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_P3,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w trzecim roku po uzyskaniu dyplomu"
P_CZY_BEZR_DOSW_P4,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w czwartym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_NDOSW_P4,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w czwartym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_P4,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w czwartym roku po uzyskaniu dyplomu"
P_CZY_BEZR_DOSW_P5,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w piątym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_NDOSW_P5,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w piątym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_BEZR_P5,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym w piątym roku po uzyskaniu dyplomu"
