P_ROKDYP;P_KIERUNEK_ID;P_POZIOM;P_FORMA;P_E_ZAR;P_E_ZAR_P1;P_E_ZAR_P2;P_E_ZAR_P3;P_E_ZAR_P4;P_E_ZAR_P5;P_PROC_UKON;P_KIERUNEK_NAZWA;P_NAZWA_UCZELNI;P_NAZWA_JEDN;P_PROFIL;P_UCZELNIA_SKROT;P_POZIOM_TEKST_PL;P_NAZWA_KIERUNKU_PELNA
2018;14516;1;S;3279,98;1687,87;2356,55;2612,72;3623,27;4566;48,5;Bezpieczeństwo wewnętrzne;Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego Apeiron w Krakowie;Wydział Bezpieczeństwa i Nauk Społeczno-Prawnych;P;WSBPIAK;Studia pierwszego stopnia;Bezpieczeństwo wewnętrzne, studia stacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14517;1;N;3974,82;2933,52;3143,18;3401,05;4254,49;5287,66;43,8;Bezpieczeństwo wewnętrzne;Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego Apeiron w Krakowie;Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego Apeiron w Krakowie - Wydział Zamiejscowy w Katowicach;P;WSBPIAK;Studia pierwszego stopnia;Bezpieczeństwo wewnętrzne, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14564;1;N;3023,01;2327,35;2659,85;2426,84;3191,05;3860,88;74,1;Finanse i rachunkowość;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Finansów;P;WSEPEL;Studia pierwszego stopnia;Finanse i rachunkowość, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14567;2;N;4173,9;3257,45;3674,89;4012,76;4669,22;5283,24;;Bezpieczeństwo wewnętrzne;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Administracji i Bezpieczeństwa;P;WSEPEL;Studia drugiego stopnia;Bezpieczeństwo wewnętrzne, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14570;1;N;4741,15;3855,82;4577,57;4895,15;5233,39;5830,03;47,8;Zarządzanie i coaching;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Nauk Społecznych;P;WSEPEL;Studia pierwszego stopnia;Zarządzanie i coaching, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14571;2;N;7715,11;5754,06;6094,8;7816,08;8392,72;9615,27;;Pielęgniarstwo;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Nauk Medycznych;P;WSEPEL;Studia drugiego stopnia;Pielęgniarstwo, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14576;2;N;2063,1;1416,89;1816,22;2124,91;2011,26;2828,93;;Kosmetologia;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Nauk o Zdrowiu;P;WSEPEL;Studia drugiego stopnia;Kosmetologia, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14579;1;N;3162,05;2580,06;2600,96;2809,74;3415,37;4095,96;64,7;Administracja;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Administracji i Bezpieczeństwa;O;WSEPEL;Studia pierwszego stopnia;Administracja, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;14581;1;N;3206,24;2378,56;2538,01;3188,02;3866,01;4512,02;63,6;Ekonomia;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Ekonomii;O;WSEPEL;Studia pierwszego stopnia;Ekonomia, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;14582;2;N;3966,43;3045,26;3332,32;3767,83;4327,37;5046,48;;Ekonomia;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Ekonomii;O;WSEPEL;Studia drugiego stopnia;Ekonomia, studia niestacjonarne drugiego stopnia, 4-semestralne, profil ogólnoakademicki
2018;14588;1;N;2238,58;2037,77;1909,64;2055,16;2531,81;2573,47;27,9;Kosmetologia;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Nauk o Zdrowiu;P;WSEPEL;Studia pierwszego stopnia;Kosmetologia, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14589;1;S;2788,14;1430,2;1009,92;2152,08;2616,18;4713,89;56,2;Kosmetologia;Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach;Wydział Nauk o Zdrowiu;P;WSEPEL;Studia pierwszego stopnia;Kosmetologia, studia stacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14610;1;S;5076,16;2974,93;4108,85;4880,27;5477,07;6028,39;10;Przetwórstwo tworzyw sztucznych;Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy;Wydział Inżynierii Mechanicznej;O;UTPJJSB;Studia pierwszego stopnia;Przetwórstwo tworzyw sztucznych, studia stacjonarne pierwszego stopnia, 7-semestralne, profil ogólnoakademicki
2018;14629;1;N;3178,43;2338,46;2455,28;2526,69;3604,81;4071,41;52,4;Dietetyka;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Dietetyka, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14630;2;N;7453,27;5938,79;6422,07;7161,99;8190,76;8970,34;;Logistyka;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia drugiego stopnia;Logistyka, studia niestacjonarne drugiego stopnia, 3-semestralne, profil praktyczny
2018;14631;2;N;7807,01;6694,04;7538,51;9435,94;9722,41;10299,06;;Zarządzanie i inżynieria produkcji;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia drugiego stopnia;Zarządzanie i inżynieria produkcji, studia niestacjonarne drugiego stopnia, 3-semestralne, profil praktyczny
2018;14633;2;N;3856,6;2932,19;3340,11;3719,32;4753,66;5375,19;;Dietetyka;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia drugiego stopnia;Dietetyka, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14636;2;N;5159,47;3110,54;4469,94;6280,57;6822,38;6962,74;;Zdrowie publiczne;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia drugiego stopnia;Zdrowie publiczne, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14638;1;N;5384,56;4105,55;4689,58;5162,29;5852,68;7054,64;16;Budownictwo;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Budownictwo, studia niestacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;14639;1;N;6245,85;5267,56;6277,48;6432,12;6620,64;8170,99;37,5;Zarządzanie i inżynieria produkcji;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Zarządzanie i inżynieria produkcji, studia niestacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;14641;2;N;4957,59;3772,8;4420,67;4824,01;5245,8;5928,44;;Bezpieczeństwo narodowe;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia drugiego stopnia;Bezpieczeństwo narodowe, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14642;1;N;4138,26;3353,32;3662,31;4274,17;4817,81;5175,42;14,3;Logistyka;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Logistyka, studia niestacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;14643;1;N;4049,16;3143,73;3389,72;3546,16;4317,13;5247,74;38,9;Administracja;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Administracja, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
